GENE	HGNC_ID	CHROMOSOME	GENE_FUNCTION	ENZYME_CLASS	PHENOTYPE	ACTIVITY_SCORE_RANGE	EXAMPLE_DIPLOTYPE	CPIC_TIER	PHARMVAR_URL	CPIC_GUIDELINE_URL	PMID	NOTES
CYP2D6	HGNC:2625	chr22q13.2	Highly polymorphic hepatic CYP450; metabolises ~25% of all prescribed drugs including codeine (prodrug to morphine), tamoxifen (to endoxifen), TCAs, SSRIs, antipsychotics, and beta-blockers. Gene duplication causes Ultrarapid Metabolizer phenotype.	Cytochrome P450 oxidase	Poor Metabolizer	0	*4/*4 or *4/*5	A	https://www.pharmvar.org/gene/CYP2D6	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	Over 150 star alleles defined. *4 (rs3892097) is most common non-functional allele in Europeans (~20% AF). *10 (rs1065852, p.Pro34Ser) predominates in East Asians (~50% AF). *5 is a full gene deletion. Ultrarapid Metabolizers carry gene duplications (*1×N or *2×N).
CYP2B6	HGNC:2616	chr19q13.2	Hepatic CYP450 enzyme; primary metaboliser of efavirenz (~80% of clearance), nevirapine, methadone, bupropion, and cyclophosphamide. Highly inducible by rifampicin.	Cytochrome P450 oxidase	Normal Metabolizer	2.0	*1/*1	A	https://www.pharmvar.org/gene/CYP2B6	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	*6 haplotype (rs3745274 + rs2279343) is the most common reduced-function allele (~26% AF globally). *18 (rs28399499) is a loss-of-function allele enriched in African populations.
CYP2B6	HGNC:2616	chr19q13.2	Hepatic CYP450 enzyme; primary metaboliser of efavirenz (~80% of clearance), nevirapine, methadone, bupropion, and cyclophosphamide. Highly inducible by rifampicin.	Cytochrome P450 oxidase	Intermediate Metabolizer	1.0–1.5	*1/*6	A	https://www.pharmvar.org/gene/CYP2B6	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	*6 haplotype (rs3745274 + rs2279343) is the most common reduced-function allele (~26% AF globally). *18 (rs28399499) is a loss-of-function allele enriched in African populations.
CYP2B6	HGNC:2616	chr19q13.2	Hepatic CYP450 enzyme; primary metaboliser of efavirenz (~80% of clearance), nevirapine, methadone, bupropion, and cyclophosphamide. Highly inducible by rifampicin.	Cytochrome P450 oxidase	Poor Metabolizer	0–0.5	*6/*6 or *6/*18	A	https://www.pharmvar.org/gene/CYP2B6	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	*6 haplotype (rs3745274 + rs2279343) is the most common reduced-function allele (~26% AF globally). *18 (rs28399499) is a loss-of-function allele enriched in African populations.
SLCO1B1	HGNC:10959	chr12p12.2	Hepatic uptake transporter OATP1B1; mediates sinusoidal influx of statins, bile acids, and bilirubin into hepatocytes. Reduced function decreases hepatic statin uptake, elevating plasma exposure and myopathy risk.	Solute carrier transporter (SLC21 family)	Normal Function	N/A — function classification	*1a/*1a	A	https://www.pharmvar.org/gene/SLCO1B1	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	rs4149056 (c.521T>C, p.Val174Ala) defines the *5 allele and is the primary myopathy risk SNP (~15% AF in Europeans). Homozygous *5/*5 carriers have ~17-fold increased simvastatin myopathy risk vs *1a/*1a.
SLCO1B1	HGNC:10959	chr12p12.2	Hepatic uptake transporter OATP1B1; mediates sinusoidal influx of statins, bile acids, and bilirubin into hepatocytes. Reduced function decreases hepatic statin uptake, elevating plasma exposure and myopathy risk.	Solute carrier transporter (SLC21 family)	Decreased Function	N/A	*1a/*5 or *1b/*5	A	https://www.pharmvar.org/gene/SLCO1B1	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	rs4149056 (c.521T>C, p.Val174Ala) defines the *5 allele and is the primary myopathy risk SNP (~15% AF in Europeans). Homozygous *5/*5 carriers have ~17-fold increased simvastatin myopathy risk vs *1a/*1a.
SLCO1B1	HGNC:10959	chr12p12.2	Hepatic uptake transporter OATP1B1; mediates sinusoidal influx of statins, bile acids, and bilirubin into hepatocytes. Reduced function decreases hepatic statin uptake, elevating plasma exposure and myopathy risk.	Solute carrier transporter (SLC21 family)	Poor Function	N/A	*5/*5 or *5/*15	A	https://www.pharmvar.org/gene/SLCO1B1	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	rs4149056 (c.521T>C, p.Val174Ala) defines the *5 allele and is the primary myopathy risk SNP (~15% AF in Europeans). Homozygous *5/*5 carriers have ~17-fold increased simvastatin myopathy risk vs *1a/*1a.
TPMT	HGNC:12014	chr6p22.3	Thiopurine S-methyltransferase; inactivates thiopurine drugs (azathioprine, 6-mercaptopurine, thioguanine) by S-methylation. TPMT deficiency causes accumulation of cytotoxic thioguanine nucleotides → severe myelosuppression.	Methyltransferase	Normal Metabolizer	2.0	*1/*1	A	https://www.pharmvar.org/gene/TPMT	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	*3A (rs1800460 + rs1142345) accounts for ~75% of non-functional TPMT alleles in Europeans. *3C (rs1142345 alone) predominates in East Asians. ~10% of the population are Intermediate Metabolizers; ~0.3% are Poor Metabolizers.
TPMT	HGNC:12014	chr6p22.3	Thiopurine S-methyltransferase; inactivates thiopurine drugs (azathioprine, 6-mercaptopurine, thioguanine) by S-methylation. TPMT deficiency causes accumulation of cytotoxic thioguanine nucleotides → severe myelosuppression.	Methyltransferase	Intermediate Metabolizer	1.0	*1/*3A	A	https://www.pharmvar.org/gene/TPMT	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	*3A (rs1800460 + rs1142345) accounts for ~75% of non-functional TPMT alleles in Europeans. *3C (rs1142345 alone) predominates in East Asians. ~10% of the population are Intermediate Metabolizers; ~0.3% are Poor Metabolizers.
TPMT	HGNC:12014	chr6p22.3	Thiopurine S-methyltransferase; inactivates thiopurine drugs (azathioprine, 6-mercaptopurine, thioguanine) by S-methylation. TPMT deficiency causes accumulation of cytotoxic thioguanine nucleotides → severe myelosuppression.	Methyltransferase	Poor Metabolizer	0	*3A/*3A or *2/*3A	A	https://www.pharmvar.org/gene/TPMT	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	*3A (rs1800460 + rs1142345) accounts for ~75% of non-functional TPMT alleles in Europeans. *3C (rs1142345 alone) predominates in East Asians. ~10% of the population are Intermediate Metabolizers; ~0.3% are Poor Metabolizers.
NUDT15	HGNC:23063	chr16q13.3	Nucleoside diphosphate-linked moiety X-type motif 15 (NUDIX hydrolase); dephosphorylates thiopurine active metabolites (thioguanine triphosphates), reducing their incorporation into DNA. NUDT15 deficiency → excess thioguanine nucleotide accumulation → myelosuppression.	NUDIX hydrolase	Normal Metabolizer	2.0	*1/*1	A	https://www.pharmvar.org/gene/NUDT15	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	*3 allele (rs116855232, p.Arg139Cys) is the major risk allele. Allele frequency: ~2-4% globally, ~3-8% in East Asian and Hispanic populations, ~0.2% in Europeans. Poor Metabolizers (diplotype *2/*3 or *3/*3) require 10% of standard thiopurine dose.
NUDT15	HGNC:23063	chr16q13.3	Nucleoside diphosphate-linked moiety X-type motif 15 (NUDIX hydrolase); dephosphorylates thiopurine active metabolites (thioguanine triphosphates), reducing their incorporation into DNA. NUDT15 deficiency → excess thioguanine nucleotide accumulation → myelosuppression.	NUDIX hydrolase	Intermediate Metabolizer	1.0	*1/*3	A	https://www.pharmvar.org/gene/NUDT15	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	*3 allele (rs116855232, p.Arg139Cys) is the major risk allele. Allele frequency: ~2-4% globally, ~3-8% in East Asian and Hispanic populations, ~0.2% in Europeans. Poor Metabolizers (diplotype *2/*3 or *3/*3) require 10% of standard thiopurine dose.
NUDT15	HGNC:23063	chr16q13.3	Nucleoside diphosphate-linked moiety X-type motif 15 (NUDIX hydrolase); dephosphorylates thiopurine active metabolites (thioguanine triphosphates), reducing their incorporation into DNA. NUDT15 deficiency → excess thioguanine nucleotide accumulation → myelosuppression.	NUDIX hydrolase	Poor Metabolizer	0	*3/*3 or *2/*3	A	https://www.pharmvar.org/gene/NUDT15	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	*3 allele (rs116855232, p.Arg139Cys) is the major risk allele. Allele frequency: ~2-4% globally, ~3-8% in East Asian and Hispanic populations, ~0.2% in Europeans. Poor Metabolizers (diplotype *2/*3 or *3/*3) require 10% of standard thiopurine dose.
